Date,Routine ID,Exercise ID,Exercise Name,Sets Completed,Reps,Weight (kg),Notes
1970-01-01,imported_hevy,28_nov_2025,_06:05,"28 Nov 2025, 06:05",50,"0;1;2;3;0;1;2;3;4;0;1;2;3;0;1;2;0;1;2;0;1;2;3;0;1;2;0;1;2;3;4;5;0;1;2;3;4;5;6;7;0;1;2;0;1;2;3;0;1;2","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,25_nov_2025,_06:05,"25 Nov 2025, 06:05",47,"0;1;2;3;4;0;1;2;3;4;5;0;1;2;3;4;0;1;2;0;1;2;0;1;2;0;1;2;0;1;2;3;4;5;6;7;0;1;2;0;1;2;0;1;0;1;2","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,21_nov_2025,_06:04,"21 Nov 2025, 06:04",52,"0;1;2;3;4;0;1;2;3;4;0;1;2;3;0;1;2;0;1;2;3;0;1;2;0;1;2;3;4;5;0;1;2;3;4;5;0;1;2;0;1;2;3;4;5;0;1;2;0;0;1;2","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,27_nov_2025,_06:05,"27 Nov 2025, 06:05",39,"0;1;2;3;0;1;2;3;4;0;1;2;0;1;2;0;1;2;3;0;1;2;3;0;1;2;0;1;2;3;0;1;2;3;4;5;0;1;2","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,24_nov_2025,_06:08,"24 Nov 2025, 06:08",40,"0;1;2;3;4;0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;0;1;2;3;4;5;6;0;1;2;0;1;2;3;4;5;6;7;8;9","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,26_nov_2025,_06:10,"26 Nov 2025, 06:10",27,"0;1;2;3;4;0;1;2;3;0;1;2;0;1;2;0;1;2;3;0;1;2;3;0;1;2;3","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,19_nov_2025,_06:05,"19 Nov 2025, 06:05",33,"0;1;2;3;4;5;0;1;2;0;1;2;0;1;2;3;0;1;2;3;0;1;2;0;1;2;0;1;2;0;1;2;3","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,12_nov_2025,_06:07,"12 Nov 2025, 06:07",39,"0;1;2;3;4;5;6;7;8;0;1;2;3;0;1;2;0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;0;1;2;3","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,5_nov_2025,_06:10,"5 Nov 2025, 06:10",39,"0;1;2;3;4;5;6;7;0;1;2;3;4;0;1;2;0;1;2;3;4;0;1;2;3;0;1;2;3;0;1;2;3;4;5;0;1;2;3","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,29_oct_2025,_06:07,"29 Oct 2025, 06:07",44,"0;1;2;3;4;5;0;1;2;3;0;1;2;0;1;2;3;0;1;2;3;4;5;0;1;2;3;0;1;2;3;4;5;0;1;2;3;4;0;1;2;3;4;0","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,22_oct_2025,_06:11,"22 Oct 2025, 06:11",26,"0;1;0;1;2;3;4;5;6;0;1;2;0;1;2;3;0;1;2;3;0;1;2;0;1;2","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,15_oct_2025,_05:58,"15 Oct 2025, 05:58",32,"0;0;1;2;3;4;5;6;0;1;2;0;1;2;0;1;2;3;0;1;2;3;0;1;2;0;1;0;1;2;3;4","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,8_oct_2025,_05:59,"8 Oct 2025, 05:59",36,"0;1;2;3;0;1;2;3;4;5;0;1;2;0;1;2;3;0;1;2;0;1;2;3;0;1;2;0;1;2;0;1;2;0;1;2","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,1_oct_2025,_06:05,"1 Oct 2025, 06:05",24,"0;1;2;3;0;1;2;3;0;1;2;0;1;2;3;4;5;6;0;1;0;1;2;3","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
1970-01-01,imported_hevy,24_sep_2025,_06:06,"24 Sep 2025, 06:06",30,"0;1;2;0;1;2;3;0;1;0;1;2;3;0;1;2;3;4;0;1;2;0;1;2;0;1;0;1;2;3","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Imported from Hevy"
